"","name","mean_win_rate","mean_fs_win_rate","mean_sec_srv_rate","mean_sec_win_rate","mean_ace_rate","mean_pts_min","mean_bp_faced_rate","mean_bp_att_rate","mean_bp_save_rate","mean_age","mean_df_rate","hand","mean_rank","mean_svpt"
"47","Guillermo Garcia Lopez",0,0.71875,0.366336633663366,0.513513513513513,0.0495049504950495,1.55555555555556,0.099009900990099,0.0458715596330275,0.6,35.613963039,0.0495049504950495,1,100,101
"48","Henri Laaksonen",0,0.7,0.571428571428571,0.5,0.0142857142857143,1.50485436893204,0.0857142857142857,0.0705882352941176,0.333333333333333,27.2881587953,0.0428571428571429,1,93,70
"49","Hubert Hurkacz",0.5,0.73193379087606,0.356836948119253,0.516056758775205,0.0925052410901468,1.52909090909091,0.0786163522012579,0.072208899547029,0.653333333333333,22.306068902575,0.0364255765199161,1,52.8333333333333,79.5
"50","Hugo Dellien",0.35,0.627510040160643,0.269247203327445,0.489189189189189,0.0358711566617862,1.52383623107123,0.115666178623719,0.0880829015544041,0.575949367088608,25.99657768652,0.0190336749633968,1,87.95,75.8888888888889
"51","Hyeon Chung",0.2,0.692307692307692,0.374640609256653,0.537037037037037,0.0379464285714286,1.40768094534712,0.0848214285714286,0.0673267326732673,0.473684210526316,22.65954825462,0.015625,1,30.4,89.6
"52","Ilya Ivashka",0.285714285714286,0.721518987341772,0.428861164146484,0.484745762711864,0.0869565217391304,1.40923399790136,0.0971014492753623,0.0689127105666156,0.656716417910448,24.9281314168429,0.0681159420289855,1,88.5714285714286,98.5714285714286
"53","Ivo Karlovic",0.44,0.836317135549872,0.346865201984315,0.545112781954887,0.258679085520745,1.57760643647335,0.0376799322607959,0.0264505119453925,0.752808988764045,40.106009582484,0.0444538526672312,1,86.64,94.48
"54","Jan Lennard Struff",0.53968253968254,0.791905444126075,0.441367426167442,0.517705064993277,0.141349790961577,1.56024371667936,0.0656977901652399,0.0791187739463601,0.642424242424242,29.1374248992317,0.0342424845709735,1,43.4920634920635,79.7301587301587
"55","Jaume Munar",0.447368421052632,0.696675191815857,0.376165521833602,0.479522184300341,0.0498880716341541,1.39157427937916,0.0882635113527342,0.0911400444585583,0.565217391304348,21.9443783998105,0.0259034218100416,1,73.1315789473684,82.2894736842105
"56","Jeremy Chardy",0.518518518518518,0.745044429254956,0.374468030637366,0.495750708215297,0.10743977829887,1.49342948717949,0.0743977829887018,0.0801642178046672,0.650429799426934,32.2968033057074,0.0464719675975272,1,56.2962962962963,86.8703703703704
